id,tid,type,dist,name_short,name,Latitude,Longitude
380079600Y,Y,國小,蘆竹區,光明國民小學,桃園市蘆竹區光明國民小學,25.0408234,121.2911174
380079700Y,Y,國小,蘆竹區,龍安國民小學,桃園市蘆竹區龍安國民小學,24.992206,121.2729161
380084200Y,Y,國小,龍潭區,龍潭國民小學,桃園市龍潭區龍潭國民小學,24.863841,121.213556
380084300Y,Y,國小,龍潭區,德龍國民小學,桃園市龍潭區德龍國民小學,24.8825914,121.1951975
380084400Y,Y,國小,龍潭區,潛龍國民小學,桃園市龍潭區潛龍國民小學,24.8809011,121.2115254
380084500Y,Y,國小,龍潭區,石門國民小學,桃園市龍潭區石門國民小學,24.841916,121.240831
380084600Y,Y,國小,龍潭區,高原國民小學,桃園市龍潭區高原國民小學,24.8302024,121.1940216
380084700Y,Y,國小,龍潭區,龍源國民小學,桃園市龍潭區龍源國民小學,24.824098,121.209541
380084800Y,Y,國小,龍潭區,三和國民小學,桃園市龍潭區三和國民小學,24.8478446,121.1676327
380084900Y,Y,國小,龍潭區,武漢國民小學,桃園市龍潭區武漢國民小學,24.8711541,121.2344374
380085000Y,Y,國小,龍潭區,龍星國民小學,桃園市龍潭區龍星國民小學,24.8626463,121.2176437
380085100Y,Y,國小,龍潭區,三坑國民小學,桃園市龍潭區三坑國民小學,24.8366066,121.2488657
380085200Y,Y,國小,龍潭區,雙龍國民小學,桃園市龍潭區雙龍國民小學,24.8572912,121.215179
380085300Y,Y,國小,新屋區,新屋國民小學,桃園市新屋區新屋國民小學,24.9736687,121.1020927
380085400Y,Y,國小,新屋區,社子國民小學,桃園市新屋區社子國民小學,24.9566894,121.0821162
380085500Y,Y,國小,新屋區,埔頂國民小學,桃園市新屋區埔頂國民小學,24.957885,121.115406
380085600Y,Y,國小,新屋區,啟文國民小學,桃園市新屋區啟文國民小學,24.97899,121.11665
380085700Y,Y,國小,新屋區,東明國民小學,桃園市新屋區東明國民小學,24.9763047,121.0848682
380085800Y,Y,國小,新屋區,頭洲國民小學,桃園市新屋區頭洲國民小學,24.9625488,121.1420887
380085900Y,Y,國小,新屋區,永安國民小學,桃園市新屋區永安國民小學,24.987413,121.046693
380086000Y,Y,國小,新屋區,北湖國民小學,桃園市新屋區北湖國民小學,25.0048455,121.0499745
380086100Y,Y,國小,新屋區,大坡國民小學,桃園市新屋區大坡國民小學,24.957299,121.0403503
380086200Y,Y,國小,新屋區,蚵間國民小學,桃園市新屋區蚵間國民小學,24.94835,121.008737
380086300Y,Y,國小,新屋區,笨港國民小學,桃園市新屋區笨港國民小學,24.9746239,121.0261242
380086400Y,Y,國小,觀音區,觀音國民小學,桃園市觀音區觀音國民小學,25.0353997,121.0828183
380086500Y,Y,國小,觀音區,大潭國民小學,桃園市觀音區大潭國民小學,25.021519,121.058693
380086600Y,Y,國小,觀音區,保生國民小學,桃園市觀音區保生國民小學,25.0059505,121.0723249
380086700Y,Y,國小,觀音區,新坡國民小學,桃園市觀音區新坡國民小學,25.0128214,121.1374944
380086800Y,Y,國小,觀音區,上大國民小學,桃園市觀音區上大國民小學,24.9788882,121.1468753
380086900Y,Y,國小,觀音區,育仁國民小學,桃園市觀音區育仁國民小學,25.0130224,121.102895
380087000Y,Y,國小,觀音區,草漯國民小學,桃園市觀音區草漯國民小學,25.0459326,121.1435844
380087100Y,Y,國小,觀音區,富林國民小學,桃園市觀音區富林國民小學,25.0370073,121.1205306
380087200Y,Y,國小,觀音區,樹林國民小學,桃園市觀音區樹林國民小學,25.0619862,121.1283706
380087300Y,Y,國小,觀音區,崙坪國民小學,桃園市觀音區崙坪國民小學,24.9999507,121.1627218
380087400Y,Y,國小,復興區,介壽國民小學,桃園市復興區介壽國民小學,24.8154011,121.35108
380087500Y,Y,國小,復興區,羅浮國民小學,桃園市復興區羅浮國民小學,24.7972829,121.3649359
380087600Y,Y,國小,復興區,三民國民小學,桃園市復興區三民國民小學,24.832252,121.3304509
380087700Y,Y,國小,復興區,義盛國民小學,桃園市復興區義盛國民小學,24.7909276,121.3791185
380087800Y,Y,國小,復興區,霞雲國民小學,桃園市復興區霞雲國民小學,24.8162643,121.3831225
380087900Y,Y,國小,復興區,奎輝國民小學,桃園市復興區奎輝國民小學,24.7755814,121.3247045
380088000Y,Y,國小,復興區,光華國民小學,桃園市復興區光華國民小學,24.6553455,121.399593
380088100Y,Y,國小,復興區,高義國民小學,桃園市復興區高義國民小學,24.7118767,121.3603297
380088200Y,Y,國小,復興區,長興國民小學,桃園市復興區長興國民小學,24.8003711,121.3071459
380088300Y,Y,國小,復興區,三光國民小學,桃園市復興區三光國民小學,24.6735161,121.366952
380088400Y,Y,國小,復興區,巴崚國民小學,桃園市復興區巴崚國民小學,24.6855255,121.3971291
380088600Y,Y,國小,中壢區,青園國民小學,桃園市中壢區青園國民小學,25.0173,121.21774
